index,Value
784,[4]
785,[4]
786,[1]
787,[1]
788,[4]
789,[4]
790,[4]
791,[4]
792,[4]
793,[4]
794,[4]
795,[4]
796,[4]
797,[4]
798,[4]
799,[4]
800,[4]
801,[4]
802,[4]
803,[4]
804,[4]
805,[4]
806,[4]
807,[1]
808,[1]
809,[1]
810,[5]
811,[1]
812,[1]
813,[1]
814,[1]
815,[1]
816,[1]
817,[1]
818,[4]
819,[4]
820,[4]
821,[4]
822,[4]
823,[1]
824,[1]
825,[1]
826,[1]
827,[1]
828,[1]
829,[4]
830,[5]
831,[4]
832,[4]
833,[4]
834,[4]
835,[4]
836,[4]
837,[4]
838,[4]
839,[4]
840,[4]
841,[4]
842,[4]
843,[4]
844,[1]
845,[1]
846,[1]
847,[1]
848,[4]
849,[4]
850,[4]
851,[4]
852,[4]
853,[4]
854,[4]
855,[4]
856,[4]
857,[4]
858,[4]
859,[1]
860,[1]
861,[4]
862,[1]
863,[4]
864,[4]
865,[4]
866,[4]
867,[4]
868,[4]
869,[4]
870,[4]
871,[1]
872,[1]
873,[1]
874,[1]
875,[1]
876,[1]
877,[1]
878,[1]
879,[1]
880,[1]
881,[1]
882,[1]
883,[4]
884,[4]
885,[4]
886,[4]
887,[4]
888,[4]
889,[4]
890,[4]
891,[5]
892,[1]
893,[1]
894,[1]
895,[4]
896,[4]
897,[4]
898,[4]
899,[4]
900,[4]
901,[4]
902,[1]
903,[4]
904,[1]
905,[1]
906,[1]
907,[1]
908,[1]
909,[1]
910,[1]
911,[4]
912,[1]
913,[1]
914,[1]
915,[1]
916,[1]
917,[1]
918,[1]
919,[1]
920,[1]
921,[1]
922,[1]
923,[1]
924,[1]
925,[4]
926,[4]
927,[4]
928,[4]
929,[4]
930,[1]
931,[4]
932,[1]
933,[1]
934,[1]
935,[1]
936,[1]
937,[1]
938,[5]
939,[1]
940,[4]
941,[1]
942,[4]
943,[4]
944,[4]
945,[4]
946,[4]
947,[4]
948,[5]
949,[4]
950,[4]
951,[4]
952,[4]
953,[4]
954,[4]
955,[4]
956,[4]
957,[4]
958,[4]
959,[4]
960,[4]
961,[1]
962,[1]
963,[1]
964,[1]
965,[1]
966,[1]
967,[1]
968,[1]
969,[1]
970,[1]
971,[1]
972,[1]
973,[1]
974,[1]
975,[1]
976,[1]
977,[1]
978,[1]
979,[1]
980,[1]
981,[4]
982,[4]
983,[4]
984,[4]
985,[4]
986,[4]
987,[4]
988,[1]
989,[1]
990,[4]
991,[4]
992,[4]
993,[4]
994,[4]
995,[4]
996,[4]
997,[4]
998,[4]
999,[4]
